name,datafile:pos_hela_HG1_O3.mzML:area,datafile:pos_hela_HG2_O3.mzML:area,datafile:pos_hela_HG3_O3.mzML:area,datafile:pos_hela_HG4_O3.mzML:area,datafile:pos_hela_HG5_O3.mzML:area,datafile:pos_hela_HG6_O3.mzML:area,datafile:pos_hela_LG1_O3.mzML:area,datafile:pos_hela_LG2_O3.mzML:area,datafile:pos_hela_LG3_O3.mzML:area,datafile:pos_hela_LG4_O3.mzML:area,datafile:pos_hela_LG5_O3.mzML:area,datafile:pos_hela_LG6_O3.mzML:area
group,HG,HG,HG,HG,HG,HG,LG,LG,LG,LG,LG,LG
"PG(18:1(9)_22:6(4,7,10,13,16,19))",115470,126670,223800,411870,135000,161800,113700,124800,154500,263400,81270,140900
"PG(18:2(9,12)_18:2(9,12))",46130,37740,14680,15900,9760,0,11220,47100,0,22473,6229,44280
"PG(18:2(9,12)_22:6(4,7,10,13,16,19))",0,0,74150,42390,84920,94060,86420,0,96250,59000,0,0
PG(20:0_18:1(9)),20090,23130,0,0,0,0,0,21530,0,0,15610,18330
"PG(22:6(4,7,10,13,16,19)_22:6(4,7,10,13,16,19))",0,0,46790,123060,33480,37350,38140,4767,18350,62670,0,8947
PI(16:0_18:1(9)),345090,332600,593300,551900,279800,473100,307800,315800,521300,575900,163085,218900
"PI(16:0_22:6(4,7,10,13,16,19))",171160,174890,488600,515000,209570,354730,207100,168770,298850,524940,57070,172650
"PI(18:0_20:4(5,8,11,14))",1917000,1846000,5615000,0,4893000,6348000,6482000,1980000,4123000,6084000,0,2473000
"PI(18:0_22:6(4,7,10,13,16,19))",148800,157300,572900,820100,308900,468300,365900,167400,393500,636900,133400,184400
"PI(18:1(9)_22:6(4,7,10,13,16,19))",137300,148100,299200,429300,105000,201700,91520,148900,182700,332600,102400,141500
