name,IN6,IN2,HFOA6,HFOA3,IN5,IN3,HG2,HG1,HG5,HFOA1,IN1,HFOA4,HG6,HFOA2,HFOA5,HG3,IN4,HG4
group,HG_Inhibitor,HG_Inhibitor,HF_OA,HF_OA,HG_Inhibitor,HG_Inhibitor,HG,HG,HG,HF_OA,HG_Inhibitor,HF_OA,HG,HF_OA,HF_OA,HG,HG_Inhibitor,HG
"PC(16:2(2,4)_16:2(2,4))",9187,23700,32020,23830,25700,15870,0,24040,0,28650,33380,16710,0,28120,24690,17270,22880,16300
PC(18:0_14:1(9)),263900,0,0,0,0,42660,0,0,260300,265600,0,0,0,0,0,0,0,294100
PC(18:0_16:1(9)),946290,970300,1101661,1044483,1062000,1037000,961280,1028000,925330,925550,757113,827500,826954,750100,882230,861648,877199,940090
PC(18:0_18:1(11)),0,0,0,0,0,0,4839,0,0,0,0,0,0,0,0,0,0,0
"PC(18:0_18:2(9,12))",0,0,0,0,0,0,0,0,0,0,0,5614,0,0,0,0,0,9915
"PC(18:0_18:4(6,9,12,15))",44070,21270,27970,28280,26160,22350,37370,20340,36310,39830,11880,14520,14430,14280,37330,9864,16040,34110
"PC(18:0_20:5(9,11,13,15,17))",597100,590300,224400,215600,626600,621000,229600,376000,247000,228900,628200,215000,275200,215900,211800,345000,613200,313900
PC(18:1(13)_18:1(13)),57670,73690,38910,29600,70110,62240,53040,0,61150,33900,62180,38400,49410,60230,33660,36360,50440,46950
"PC(18:1(9)_18:2(9,12))",11260,4613,7846,0,0,2051,9239,0,10770,0,0,0,0,0,0,0,0,0
PC(18:1(9)_20:1(11)),28820,0,0,0,0,0,26800,0,29889,18350,0,0,0,0,31170,0,25620,28450
"PC(18:1(9)_20:4(8,11,14,17))",1535000,1517000,2874000,2787000,1646000,1592000,1687000,2587000,1593000,2737000,1609000,2815000,1812000,2733000,2793000,2339000,1542000,2503000
"PC(18:1(9)_22:6(4,7,10,13,16,19))",674400,642000,2332000,2177000,640700,693400,1035000,1402000,980600,2314000,636900,2316000,1175000,2324000,2162000,1468000,605300,1432000
"PC(18:2(6,9)_18:2(6,9))",5021400,4691100,3777500,3740100,4990300,4820700,3295800,4582600,3145400,3723700,4882600,3707700,3660200,3644000,3678100,4228800,4795400,4408700
"PC(18:3(9,12,15)_18:3(6,9,12))",139190,124090,159590,178860,141180,130430,134410,190330,129140,164890,123730,167480,165252,169180,168230,158780,119430,177480
"PC(20:2(11,14)_20:2(11,14))",87670,82300,220503,222322,84710,139620,179650,82536,131681,204958,88370,213637,188505,222353,213862,62639,77680,73070
"PC(20:3(8,11,14)_20:3(8,11,14))",1294073,1232660,1358930,1286440,1291480,1252962,619980,1307790,848680,1081100,1234160,1293680,972670,1308570,1194300,1208100,1251400,1240170
"PC(20:4(5,8,11,14)_20:4(5,8,11,14))",0,0,59750,0,0,11170,0,0,14880,55170,0,58040,27320,60360,0,0,0,32450
PC(22:1(13)_22:1(13)),31740,30165,36140,39970,32050,33540,40870,35080,37060,35990,30640,33970,31280,42470,37110,44640,31970,25160
PC(O-18:1(9)),84780,76700,73860,84090,82430,71460,78400,118600,79460,78110,73410,69680,91930,73420,82860,103500,77600,114600
PE(12:0_18:1(9)),25050,19430,25500,21860,23610,21020,23960,21970,27720,23060,34490,31860,32420,38590,25070,37580,37060,24730
PE(14:0_16:1(9)),52230,47280,50950,44550,53590,53710,76170,89330,72430,54470,54450,44660,81420,52400,46340,68370,50140,82710
PE(14:0_18:1(9)),268000,197100,230200,249200,207800,230800,262900,239600,269500,275600,384000,422100,395500,381200,288300,382200,414500,284800
"PE(14:0_20:4(5,8,11,14))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1666,0,0
"PE(14:0_20:5(5,8,11,14,17))",15930,14300,3513,4250,14870,14580,9023,12600,9102,0,14620,3692,11990,0,6016,10500,14570,11070
